m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_eventStringCode,m_eventDetails
157637,1978039479526609313,157637,3027.266357421875,BUTN,"{""buttonStatus"": 4160}"
157650,1978039479526609313,157650,3027.900390625,BUTN,"{""buttonStatus"": 4164}"
157652,1978039479526609313,157652,3027.98388671875,BUTN,"{""buttonStatus"": 4196}"
157652,1978039479526609313,157652,3028.00048828125,BUTN,"{""buttonStatus"": 4192}"
157664,1978039479526609313,157664,3028.61767578125,BUTN,"{""buttonStatus"": 4160}"
157667,1978039479526609313,157667,3028.734619140625,BUTN,"{""buttonStatus"": 4164}"
157669,1978039479526609313,157669,3028.834716796875,BUTN,"{""buttonStatus"": 4160}"
157677,1978039479526609313,157677,3029.268310546875,BUTN,"{""buttonStatus"": 4192}"
157682,1978039479526609313,157682,3029.501953125,BUTN,"{""buttonStatus"": 4160}"
157685,1978039479526609313,157685,3029.635498046875,BUTN,"{""buttonStatus"": 4164}"
157687,1978039479526609313,157687,3029.752197265625,BUTN,"{""buttonStatus"": 4160}"
157707,1978039479526609313,157707,3030.753173828125,BUTN,"{""buttonStatus"": 4192}"
157710,1978039479526609313,157710,3030.88671875,BUTN,"{""buttonStatus"": 4196}"
157712,1978039479526609313,157712,3030.98681640625,BUTN,"{""buttonStatus"": 4192}"
157714,1978039479526609313,157714,3031.053955078125,BUTN,"{""buttonStatus"": 4160}"
157715,1978039479526609313,157715,3031.0869140625,BUTN,"{""buttonStatus"": 4192}"
157719,1978039479526609313,157719,3031.303955078125,BUTN,"{""buttonStatus"": 4160}"
157747,1978039479526609313,157747,3032.58837890625,BUTN,"{""buttonStatus"": 4164}"
157750,1978039479526609313,157750,3032.755126953125,BUTN,"{""buttonStatus"": 4160}"
157760,1978039479526609313,157760,3033.255615234375,BUTN,"{""buttonStatus"": 4176}"
157763,1978039479526609313,157763,3033.38916015625,BUTN,"{""buttonStatus"": 4112}"
157765,1978039479526609313,157765,3033.4892578125,BUTN,"{""buttonStatus"": 2072}"
157767,1978039479526609313,157767,3033.58935546875,BUTN,"{""buttonStatus"": 2064}"
157769,1978039479526609313,157769,3033.7060546875,BUTN,"{""buttonStatus"": 2072}"
157771,1978039479526609313,157771,3033.77294921875,BUTN,"{""buttonStatus"": 2064}"
157772,1978039479526609313,157772,3033.856201171875,BUTN,"{""buttonStatus"": 2072}"
157774,1978039479526609313,157774,3033.939697265625,BUTN,"{""buttonStatus"": 2064}"
157776,1978039479526609313,157776,3034.023193359375,BUTN,"{""buttonStatus"": 16}"
157778,1978039479526609313,157778,3034.123291015625,BUTN,"{""buttonStatus"": 2064}"
157784,1978039479526609313,157784,3034.423583984375,BUTN,"{""buttonStatus"": 2072}"
157786,1978039479526609313,157786,3034.556884765625,BUTN,"{""buttonStatus"": 2064}"
157788,1978039479526609313,157788,3034.623779296875,BUTN,"{""buttonStatus"": 16}"
157795,1978039479526609313,157795,3035.00732421875,BUTN,"{""buttonStatus"": 4112}"
157802,1978039479526609313,157802,3035.341064453125,BUTN,"{""buttonStatus"": 4176}"
157817,1978039479526609313,157817,3036.075439453125,BUTN,"{""buttonStatus"": 4160}"
157818,1978039479526609313,157818,3036.141845703125,BUTN,"{""buttonStatus"": 4164}"
157820,1978039479526609313,157820,3036.241943359375,BUTN,"{""buttonStatus"": 4180}"
